Title,Date,Link
Congrats to Marco Kurzynski on paper acceptance to ISPASS 2026!,,https://ispass.org/ispass2026/
Di Wu receives DOE grant APT-Q: Algorithm-Architecture Co-design in Partial Fault-Tolerance for Quantum Utility!,,
Di Wu will give a talk on Lit Silicon at AMD Research!,5/28/26,
Congrats to Marco Kurzynski on being awarded ISCA 2026 Student Travel Grants!,5/16/26,https://iscaconf.org/isca2026/attend/travelgrants.php
Our SIGARCH blog post on value-level parallelism is up!,5/13/26,https://www.sigarch.org/from-control-to-data-to-value-a-third-axis-of-parallelism/
Our paper on quantum energy estimation has been accepted to IGSC 2026!,5/8/26,https://www.igscc.org/
Di Wu receives AMD AI & HPC Cluster Award! No joke!,4/1/26,https://www.amd.com/en/corporate/university-program/ai-hpc-cluster.html
Di Wu will serve on the program committee for YArch 2026!,4/1/26,https://yarch2026.epfl.ch/
Congrats to Marco Kurzynski on paper acceptance to ISCA 2026!,3/27/26,https://iscaconf.org/isca2026/
Congrats to Dewan Saiham on paper acceptance to TODAES 2026!,3/23/26,
Congrats to Daniel Price on being awarded ASPLOS 2026 Student Travel Grants!,3/22/26,https://www.asplos-conference.org/asplos2026/student-travel-grants/index.html
Di Wu will give a talk on value-level parallelism at University of Pittsburgh!,3/20/26,https://calendar.pitt.edu/event/value-level-parallelism-new-opportunities-for-parallel-computing-from-fewer-bits-in-the-ai-era
Our CryptOracle paper wins all three badges from ISPASS 2026 artifact evaluation!,3/19/26,https://github.com/UnaryLab/CryptOracle
"Congrats to Cory Brynds, Parker McLeod, and Lauren Caccamise on paper acceptance to ISPASS 2026!",2/23/26,https://ispass.org/ispass2026/
Congrats to Thomas Danielsen and Caden Brock on paper acceptance to the Florida Quantum Conference 2026!,2/20/26,https://www.florida-quantum.net/
Di Wu will serve on the program committee for GLSVLSI 2026!,2/16/26,https://www.glsvlsi.org/
Congrats to Daniel Price on paper acceptances to Workshop on Unary Computing at ASPLOS 2026!,2/16/26,https://sites.google.com/view/wuc-3rd
Di Wu will co-chair the artifact evaluation for ISPASS 2026!,2/13/26,https://ispass.org/ispass2026/
Di Wu will serve on the program committee for MICRO 2026!,2/6/26,https://microarch.org/micro59/
Our Mugi paper wins all three badges from ASPLOS 2026 artifact evaluation!,1/19/26,https://zenodo.org/records/18063514
Di Wu will give a talk on value-level parallelism at UW-Madison!,12/5/25,
Congrats to Daniel Price on paper acceptance to ASPLOS 2026!,11/25/25,https://www.asplos-conference.org/asplos2026/
Di Wu is organizing Workshop on Unary Computing at ASPLOS 2026!,11/23/25,https://sites.google.com/view/wuc-3rd
