Title,Date
"Marco Kurzynski is presenting Lit Silicon at ISCA 2026, where UCF has a huge presence! We are celebrating at Bojangles, recommended by Abhishek Bhattacharyya!",7/1/2026
Zubaidah Al-Mashhadani is now officially a doctor! Congratulations!,6/23/2026
UnaryLab is enjoying the summer break at Royal Tea. We destroyed the claw crane machine again!,6/10/2026
UnaryLab is celebrating the end of the semester at Korea House. Fun fact: 5 people in the picture have cats!,5/3/2026
"Caden Brock and Erik Danielsen, two undergrads in the lab, are presenting their poster on GPU implementation of Relay-BP for quantum error correction at Florida Quantum Conference 2026!",4/9/2026
"Daniel Price is presenting his very first paper, Mugi, at ASPLOS 2026 in Pittsburgh, PA, US!",3/24/2026
"UnaryLab is enjoying the semester gathering at Aashirwad Indian Food & Bar and Tan-Cha, Orlando. We had a huge triumph in beating the claw crane machine. Chetan won the hidden award!",11/22/2025
"Our Catwalk paper wins the Amar Mukherjee Best Paper Award of ISVLSI 2025. Prabhu Vellaisamy is sharing this exciting moment in real time from Kalamata, Greece!",7/6/2025
"UnaryLab is enjoying the semester gathering at Kyuramen x TBaar, Orlando. ",4/30/2025
"UnaryLab is attending ASPLOS 2024 at San Diego, USA.",4/30/2024
