Title,Author,Selected,Tier,Venue,Date,Paper/Slide/Poster,Video,Code,Award1,Award2,Award3,Software,Description
Lit Silicon: A Case Where Thermal Imbalance Couples Concurrent Execution in Multiple GPUs,"Marco Kurzynski, Shaizeen Aga, Di Wu",yes,top,ISCA,6/27/26,2026-06-27-isca,,https://github.com/UnaryLab/lit_silicon_tuning_amd,,,,Lit Silicon,"A tool to profiling the Lit Silicon effect in multi-GPU nodes, which describes the coupling between thermal imbalance and concurrent execution causes performance and efficiency loss. Currently both AMD and NVIDIA platforms are supported."
Estimating The Energy Consumption of Quantum Computing from A Full System Aspect,"Siyuan Niu, Di Wu, Ozgur Kilic, Kwangmin Yu",,,IGSC,6/22/26,2026-06-22-igsc,,,,,,,
CryptOracle: A Modular Framework to Characterize FHE,"Cory Brynds, Parker McLeod, Lauren Caccamise, Asmita Pal, Dewan Saiham, Sazadur Rahman, Joshua San Miguel, Di Wu",,,ISPASS,4/26/26,2026-04-26-ispass,,https://github.com/UnaryLab/CryptOracle,,,,CryptOracle,"CryptoOracle is an open-source, fully modular framework for the systematic characterization, profiling, and performance modeling of workloads that rely on Fully Homomorphic Encryption (FHE)."
Lottery BP: Unlocking Quantum Error Decoding at Scale,"Yanzhang Zhu, Chen-Yu Peng, Yun Hao Chen, Yeong-Luh Ueng, Di Wu",yes,,arXiv preprint,4/17/26,https://arxiv.org/abs/2605.00038,,https://github.com/UnaryLab/syndrilla,,,,Syndrilla,A PyTorch-based numerical simulator for decoders in quantum error correction.
PyTorch-Based Implementation of Relay-BP,"Thomas Danielsen, Caden Brock, Yanzhang Zhu, Di Wu",,,FQC,4/9/26,,,,,,,,
OptoLink: Breaking Memory Bandwidth Bottlenecks in FHE Accelerators with Photonic Interconnects,"Dewan Saiham, Di Wu, Sazadur Rahman",,,TODAES,3/23/26,2026-04-13-todaes,,,,,,,
Mugi: Value Level Parallelism For Efficient LLMs,"Daniel Price, Prabhu Vellaisamy, John Shen, Di Wu",yes,top,ASPLOS,3/22/26,2026-03-22-asplos,,https://zenodo.org/records/18063514,,,,Mugi,Artifact to reproduce results.
Mugi: Value Level Parallelism For Nonlinear Operations in LLMs,"Daniel Price, Prabhu Vellaisamy, John Shen, Di Wu",,,WUC,3/22/26,,,,,,,,
Agraph: A unified Graph Representation for At-Will Simulation of Emerging Stacks,"Daniel Price, Prabhu Vellaisamy, Patricia Gonzalez, George Michelogiannakis, John Shen, Di Wu",,,WUC,3/22/26,,,,,,,,
uSense: Unary-Computing-based Stochastic Edge Neuromorphic Sensing,"Zubaidah Al-Mashhadani, Mohsen Rakhshan, Di Wu",yes,,Research Square preprint,3/14/26,https://www.researchsquare.com/article/rs-8961215,,,,,,,
