Title,Role,Date,Semester
"EEL4768 (Computer Architecture), UCF",Instructor,8/24/2026,FA
"EEL5796 (Big Data Computer Architecture and Systems), UCF",Instructor,1/12/2026,SP
"EEL4768 (Computer Architecture), UCF",Instructor,1/12/2026,SP
"EEE3342C (Digital Systems), UCF",Instructor,8/18/2025,FA
"EEE4742C (Embedded Systems), UCF",Instructor,1/6/2025,SP
"EEE3342C (Digital Systems), UCF",Instructor,8/19/2024,FA
"EEL5796 (Big Data Computer Architecture and Systems), UCF",Instructor,1/8/2024,SP
"ECE697 (Capstone Project in Machine Learning and Signal Processing), UW-Madison",Instructor,5/1/2023,SU
"ECE554 (Digital Circuit Lab), UW–Madison",Teaching Assistant,2/1/2022,SP
"ECE454 (Mobile Computing Lab), UW–Madison",Teaching Assistant,9/1/2021,FA
"ECE757 (Advanced Computer Architecture II), UW–Madison",Guest Lecturer,2/1/2021,SP
"ECE454 (Mobile Computing Lab), UW–Madison",Teaching Assistant,9/1/2020,FA
"ECE554 (Digital Circuit Lab), UW–Madison",Teaching Assistant,2/1/2020,SP
"ECE757 (Advanced Computer Architecture II), UW–Madison",Guest Lecturer,2/1/2020,SP
"ECE554 (Digital Circuit Lab), UW–Madison",Teaching Assistant,9/1/2019,FA
"ECE752 (Advanced Computer Architecture I), UW–Madison",Guest Lecturer,2/1/2019,SP
"ECE554 (Digital Circuit Lab), UW–Madison",Teaching Assistant,2/1/2019,SP
"ECE552 (Introduction to Computer Architecture), UW–Madison",Teaching Assistant,9/1/2018,FA
"ECE554 (Digital Circuit Lab), UW–Madison",Teaching Assistant,9/1/2018,FA
